Woche;Wochenbeginn;Einzahlungen_EUR;Faellige_Auszahlungen_EUR;Geleistete_Auszahlungen_EUR;Endbestand_Konto_EUR;Verfuegbar_inkl_freier_Linie_EUR;Zahlungsrueckstand_kumuliert_EUR;Unterdeckung_Prozent
KW 10/2024;04.03.2024;152000.00;219000.00;154000.00;34800.00;59800.00;65000.00;29.7
KW 11/2024;11.03.2024;148000.00;207000.00;147000.00;35800.00;60800.00;125000.00;29.3
KW 12/2024;18.03.2024;161000.00;226000.00;160000.00;36800.00;61800.00;191000.00;29.3
KW 13/2024;25.03.2024;144000.00;211000.00;143000.00;37800.00;62800.00;259000.00;30.0
KW 14/2024;01.04.2024;157000.00;223000.00;155000.00;39800.00;64800.00;327000.00;30.1
KW 15/2024;08.04.2024;150000.00;208000.00;149000.00;40800.00;65800.00;386000.00;29.8
KW 16/2024;15.04.2024;146000.00;217000.00;145000.00;41800.00;66800.00;458000.00;30.3
KW 17/2024;22.04.2024;163000.00;229000.00;161000.00;43800.00;68800.00;526000.00;30.2
KW 18/2024;29.04.2024;141000.00;206000.00;140000.00;44800.00;69800.00;592000.00;30.4
KW 19/2024;06.05.2024;155000.00;221000.00;153000.00;46800.00;71800.00;660000.00;30.5
KW 20/2024;13.05.2024;149000.00;214000.00;148000.00;47800.00;72800.00;726000.00;30.5
KW 21/2024;20.05.2024;158000.00;227000.00;156000.00;49800.00;74800.00;797000.00;30.6
KW 22/2024;27.05.2024;147000.00;218000.00;146000.00;50800.00;75800.00;869000.00;30.8
